Conver,Conver,corr,corr,Diction,Diction,DisVoice,DisVoice,LIWC,LIWC,OpenSmile,OpenSmile
,,F62_affectby_F68,0.00018354859395088062,,,DMFCCon2_std,0.020585983515642378,focuspresent,0.7496780160285728,mfcc_sma_de[9]_iqr1-2_max,0.0004236474392173018
,,F61_affectby_F21,0.00018578053070383564,,,BBEoff9_std,0.02108959897302062,social,0.7774837401093008,mfcc_sma_de[11]_quartile2_std,0.00043347132608278154
,,F62_affectby_F22,0.00019263038595170577,,,BBEoff10_mean,0.02195282789338946,negemo,0.7903252620085723,mfcc_sma[9]_quartile1_std,0.00047493284796860247
,,F16_affectby_F16,0.00019496592843859154,,,Shimmer_ku,0.022129115504172327,focusfuture,0.8008767388081235,mfcc_sma_de[9]_quartile2_min,0.00047493284796860247
,,F14_affectby_F19,0.00019496592843859154,,,DDMFCCon2_mean,0.023029142519876256,total,0.8386707915626141,mfcc_sma_de[9]_linregc2_std,0.00047493284796860247
,,F71_affectby_F11,0.00019732806074199662,,,DMFCCoff1_mean,0.023771890952059872,filler,0.8437879902064644,F0_sma_skewness_mean,0.0004803681097284211
,,F67_affectby_F20,0.00019971706352371935,,,BBEon4_sk,0.024150996468761968,informal,0.8577150583546662,mfcc_sma[1]_minPos_std,0.0004803681097284211
,,F16_affectby_F88,0.00020213322013914423,,,BBEoff20_ku,0.024342507086881814,differ,0.8720529730537899,voiceProb_sma_quartile1_mean,0.0004858613441069355
,,F21_affectby_F88,0.00020213322013914423,,,DMFCCoff4_mean,0.024535332549009917,male,0.880435794922418,mfcc_sma[9]_max_std,0.0004970240039701708
,,F70_affectby_F22,0.00020457681666001719,,,BBEon19_mean,0.024729480089680803,motion,0.927364478988491,mfcc_sma[9]_range_std,0.0005084254238428077
,,F23_affectby_F22,0.00020704814189738275,,,MFCCoff2_mean,0.02492495696854381,assent,0.9370276019892493,mfcc_sma[9]_iqr1-3_std,0.0005084254238428077
,,F15_affectby_F12,0.00020954748742451514,,,MFCCoff7_std,0.027590474797429362,you,0.985453594277169,mfcc_sma[9]_stddev_std,0.0005142171270966303
,,F15_affectby_F17,0.00021721660340075883,,,MFCCoff3_std,0.028239397689459128,qmarks,1.0,mfcc_sma_de[10]_quartile2_std,0.0005319633323770202
,,F17_affectby_F16,0.00021983100188186741,,,BBEoff10_ku,0.03120557504364814,,,mfcc_sma[9]_iqr2-3_std,0.000575614210639432
,,F83_affectby_F67,0.0002224749207717841,,,BBEoff21_mean,0.03217043011230575,,,mfcc_sma_de[12]_max_mean,0.0005886852782667694
,,F8_affectby_F12,0.00022514866871065127,,,BBEoff11_ku,0.03291074693141787,,,mfcc_sma_de[12]_linregerrA_mean,0.0006020322273960393
,,F18_affectby_F15,0.00022785255726674527,,,MFCCoff7_sk,0.03417702238690884,,,mfcc_sma_de[1]_min_std,0.0006020322273960393
,,F6_affectby_F84,0.00023614822675602142,,,DMFCCoff10_std,0.035751305699174604,,,pcm_loudness_sma_min_min,0.0006114224274021188
,,F21_affectby_F67,0.0002447266645055168,,,DMFCCoff3_sk,0.03937545576679905,,,mfcc_sma[10]_quartile3_min,0.0006156603774950633
,,F59_affectby_F15,0.00025060710185243786,,,DDMFCCon1_sk,0.04175719373350416,,,mfcc_sma_de[12]_quartile3_std,0.0006156603774950633
,,F19_affectby_F16,0.00026276770352197924,,,DDMFCCon4_ku,0.04237133180041911,,,mfcc_sma[10]_quartile2_min,0.0006225815901116581
,,F78_affectby_F22,0.00026276770352197924,,,MFCCon1_mean,0.042681255029362736,,,mfcc_sma[6]_quartile2_min,0.0006295751391145905
,,F67_affectby_F15,0.00026276770352197924,,,MFCCon12_std,0.042681255029362736,,,mfcc_sma[11]_linregc1_max,0.0006366417152695644
,,F81_affectby_F15,0.0002658931501533873,,,BBEon17_sk,0.042993092931205096,,,mfcc_sma[9]_min_std,0.0006437820151996891
,,F59_affectby_F67,0.0002658931501533873,,,BBEoff18_ku,0.045230321762696514,,,F0env_sma_de_kurtosis_std,0.0006509967414270601
,,F67_affectby_F88,0.0002754798711890005,,,BBEoff8_std,0.045230321762696514,,,mfcc_sma_de[9]_quartile3_min,0.0006582866024149493
,,F70_affectby_F21,0.00028204996310103527,,,BBEon13_ku,0.04621863131301178,,,mfcc_sma_de[1]_iqr1-2_std,0.0006730945924838398
,,F33_affectby_F15,0.00028538979825636567,,,BBEon4_std,0.04790654109354874,,,pcm_intensity_sma_de_maxPos_mean,0.0006882117735412718
,,F16_affectby_F17,0.0002956329766270549,,,BBEoff19_mean,0.04859601068248566,,,mfcc_sma_de[9]_min_max,0.0007193973514349636
,,F3_affectby_F35,0.0002991232018948329,,,BBEon17_ku,0.04894385831529738,,,mfcc_sma_de[12]_linregc2_std,0.0007518916216982691
,,F88_affectby_F19,0.0002991232018948329,,,DMFCCoff1_ku,0.050356217383498894,,,mfcc_sma_de[10]_linregerrQ_max,0.0007602254856108395
,,F18_affectby_F88,0.0003026519896643503,,,MFCCoff4_std,0.05180257323125271,,,mfcc_sma[12]_linregerrQ_mean,0.0007686450505924307
,,F15_affectby_F88,0.0003062197330580232,,,DDF2_std,0.0529100110035039,,,mfcc_sma_de[12]_linregc1_std,0.0007771511194047732
,,F11_affectby_F15,0.00031347367731839575,,,BBEon13_mean,0.055959844226147006,,,mfcc_sma_de[7]_min_min,0.0007771511194047732
,,F83_affectby_F18,0.000320888252504646,,,BBEoff5_ku,0.056351636509027234,,,mfcc_sma[6]_quartile3_min,0.0007771511194047732
,,F53_affectby_F16,0.00033231848333384925,,,apq_mean,0.05753947173632128,,,mfcc_sma_de[12]_iqr2-3_mean,0.0007771511194047732
,,F81_affectby_F12,0.00034412883645908263,,,DDF2_mean,0.058342870398605584,,,voiceProb_sma_amean_mean,0.0007857445014513925
,,F15_affectby_F15,0.00035633093910606464,,,BBEoff7_std,0.0591555656880597,,,voiceProb_sma_quartile2_mean,0.0007857445014513925
,,F35_affectby_F11,0.0003775709270185963,,,BBEon7_ku,0.0591555656880597,,,mfcc_sma_de[10]_amean_std,0.0007857445014513925
,,F18_affectby_F66,0.0003819585068594713,,,BBEoff20_sk,0.0591555656880597,,,mfcc_sma_de[12]_quartile2_min,0.0008120567216249403
,,F13_affectby_F62,0.0003819585068594713,,,Jitter_std,0.0603922087561352,,,mfcc_sma[10]_iqr1-2_std,0.0008210075850887165
,,F59_affectby_F12,0.00039998977143419084,,,BBEoff8_mean,0.0603922087561352,,,mfcc_sma_de[11]_amean_std,0.000839184546705253
,,F11_affectby_F88,0.0004093007311277684,,,MFCCoff6_sk,0.06122848384589983,,,mfcc_sma[3]_max_min,0.0008484123522692072
,,F35_affectby_F12,0.0004188138306317804,,,BBEon18_ku,0.06207432664585477,,,voiceProb_sma_linregc2_mean,0.0008577341909355678
,,F84_affectby_F15,0.0004236474392173018,,,logE_std,0.06250086026319597,,,mfcc_sma[10]_range_mean,0.0008671509339677299
,,F60_affectby_F88,0.00044350756158745356,,,BBEon12_sk,0.06445006526181146,,,mfcc_sma[10]_stddev_mean,0.0008959794088094714
,,F35_affectby_F83,0.0004486066232180909,,,DF2_ku,0.0651112478676915,,,pcm_zcr_sma_de_min_min,0.0009007497279405101
,,F61_affectby_F11,0.0004486066232180909,,,DMFCCon1_std,0.06781091102621425,,,mfcc_sma[6]_amean_min,0.0009256940763316755
,,F14_affectby_F17,0.0004642339985729752,,,slogE,0.07107618840293797,,,mfcc_sma_de[6]_quartile3_max,0.0009358001484863691
,,F33_affectby_F11,0.00046955499667366467,,,MFCCoff6_mean,0.07155300987501043,,,mfcc_sma[2]_minPos_std,0.0009563196330825934
,,F53_affectby_F88,0.000491413118177654,,,BBEon1_mean,0.07203244938906879,,,pcm_intensity_sma_min_min,0.0009850764877910193
,,F21_affectby_F17,0.0005026945785075317,,,BBEoff13_mean,0.07446926510199574,,,mfcc_sma[12]_iqr1-2_std,0.0010204052292891866
,,F11_affectby_F17,0.0005026945785075317,,,DDMFCCon2_sk,0.07799354817538019,,,mfcc_sma[10]_iqr1-3_mean,0.0010314648830749642
,,F84_affectby_F11,0.0005084254238428077,,,BBEon14_std,0.07850775993383033,,,mfcc_sma_de[2]_amean_min,0.0010653129386481066
,,F16_affectby_F15,0.0005142171270966303,,,DMFCCoff6_ku,0.07954496712445339,,,lspFreq_sma_de[0]_minPos_mean,0.0010884460551698109
,,F61_affectby_F12,0.0005200702804946602,,,MFCCoff5_ku,0.07954496712445339,,,mfcc_sma_de[1]_linregerrQ_mean,0.0010884460551698109
,,F14_affectby_F22,0.0005259854814051535,,,DDMFCCoff6_std,0.08326261847543794,,,mfcc_sma_de[10]_min_std,0.0010884460551698109
,,F70_affectby_F15,0.0005441094208326326,,,BBEon11_mean,0.08462346224865366,,,pcm_zcr_sma_range_max,0.00111177105660555
,,F81_affectby_F67,0.0005441094208326326,,,DMFCCon2_mean,0.08489840706150778,,,mfcc_sma[12]_quartile1_max,0.001112043009551638
,,F14_affectby_F12,0.0005502788896611569,,,BBEon2_mean,0.08824793970709251,,,mfcc_sma_de[9]_linregc1_min,0.001124010827581473
,,F69_affectby_F22,0.0005691804946411804,,,BBEon17_std,0.08938784141418363,,,mfcc_sma_de[10]_iqr1-2_mean,0.0011483265732241815
,,F18_affectby_F12,0.000575614210639432,,,MFCCoff10_std,0.08996222295543328,,,mfcc_sma_de[9]_minPos_std,0.0011483265732241815
,,F10_affectby_F22,0.0005953239372963873,,,URE,0.09111989727282983,,,mfcc_sma_de[11]_amean_max,0.001160662210280468
,,F17_affectby_F15,0.0006020322273960393,,,BBEoff3_mean,0.09228951967476229,,,mfcc_sma_de[12]_min_std,0.0011984077171448798
,,F11_affectby_F22,0.000608810816314988,,,MFCCoff1_ku,0.0928788363066286,,,mfcc_sma_de[11]_quartile3_std,0.0012241979690939867
,,F77_affectby_F22,0.000608810816314988,,,BBEon7_mean,0.09466492733277945,,,F0env_sma_maxPos_mean,0.0012372844401067216
,,F71_affectby_F21,0.0006156603774950633,,,BBEoff2_sk,0.09466492733277945,,,mfcc_sma_de[10]_skewness_mean,0.0012372844401067216
,,F59_affectby_F11,0.0006225815901116581,,,DDMFCCoff1_sk,0.09526637119056833,,,F0_sma_min_std,0.0012372844401067216
,,F25_affectby_F21,0.0006295751391145905,,,Shimmer_std,0.09770281229949589,,,mfcc_sma[10]_linregc1_std,0.0012504999930662824
,,F87_affectby_F24,0.0006582866024149493,,,BBEoff22_ku,0.09893957103750227,,,mfcc_sma[2]_range_max,0.0012504999930662824
,,F19_affectby_F19,0.0006582866024149493,,,BBEoff2_ku,0.09956261959683774,,,mfcc_sma_de[10]_linregerrA_max,0.0012504999930662824
,,F14_affectby_F15,0.0007273963074347527,,,DDMFCCoff1_std,0.10208617222850382,,,mfcc_sma_de[9]_stddev_max,0.001332569059095341
,,F25_affectby_F67,0.0007436426626895726,,,BBEoff17_ku,0.10272494928287562,,,mfcc_sma_de[10]_min_mean,0.0013467208889492085
,,F19_affectby_F88,0.0007602254856108395,,,DDF0_sk,0.10272494928287562,,,mfcc_sma[12]_amean_max,0.0013610112535406627
,,F61_affectby_F22,0.0007686450505924307,,,BBEoff14_std,0.10336690158281764,,,mfcc_sma_de[9]_iqr1-3_max,0.0013900124878890097
,,F79_affectby_F11,0.0007944260128238055,,,DMFCCoff2_mean,0.10401203895486605,,,mfcc_sma[11]_minPos_std,0.0014497318116294302
,,F33_affectby_F88,0.0008120567216249403,,,MSEF0,0.1053119081700438,,,F0env_sma_de_minPos_mean,0.0014650266890117887
